name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,2021-01-01,5.7,-0.7,2.4,3.7,-3.1,0.4,1.4,93,0.65,100,37.5,"rain,snow",0,0,16.1,12.4,214.7,1007.7,78.9,13.8,42.1,3.6,2,,2021-01-01T08:50:27,2021-01-01T16:37:52,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-02,4.8,1,2.9,4.1,-1.3,1.2,2.5,97.5,1.118,100,41.67,"rain,snow",0,0,16.5,13.5,174.2,1012.9,93.1,4.3,26.2,2.1,2,,2021-01-02T08:50:17,2021-01-02T16:38:59,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-03,4.2,3,3.5,1.4,-1.3,-0.1,1.5,87,0.005,100,4.17,rain,0,0,39.2,24.2,51.4,1016.9,100,18.2,44.1,3.7,1,,2021-01-03T08:50:04,2021-01-03T16:40:08,0.65,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-04,3.6,2.5,3.1,-1.3,-3.1,-2.1,0.8,84.8,0.886,100,50,rain,0,0,45.9,33.4,46.1,1018.3,100,37,32.6,2.9,1,,2021-01-04T08:49:47,2021-01-04T16:41:21,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,F5767,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-05,3.5,2.2,3,-0.6,-2.9,-1.7,1.4,89.1,0.23,100,41.67,rain,0,0,41.5,25.7,52.1,1018.3,100,31,27.9,2.4,0,,2021-01-05T08:49:27,2021-01-05T16:42:35,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-06,3.4,1.5,2.5,2.1,-2.7,-0.7,0.5,86.9,0.23,100,20.83,"rain,snow",0,0,34.7,23.4,25,1017.2,99.6,36,24.2,2,1,,2021-01-06T08:49:03,2021-01-06T16:43:53,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-07,4.5,1.4,2.9,1,-1.7,-0.4,1.6,91.3,6.695,100,100,"rain,snow",0,0,36.5,23,306.5,1012.6,99.6,21.5,35,3,1,,2021-01-07T08:48:36,2021-01-07T16:45:13,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-08,4.5,-1.7,1.9,3,-4.3,0.5,1,93.8,0.826,100,29.17,"rain,snow",0,0,18.3,10.1,330.2,1015.7,69.4,27.1,44.4,3.6,1,,2021-01-08T08:48:05,2021-01-08T16:46:35,0.83,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2021-01-09,5.6,-3,0.5,3.8,-4.6,-0.6,-1.1,89.5,0.109,100,16.67,"rain,snow",0,0,27.9,14.4,302.7,1023.6,23.8,22.1,69.5,6.1,2,,2021-01-09T08:47:32,2021-01-09T16:47:59,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-10,4.7,-0.9,2.5,1.6,-3.8,-0.4,0.7,87.8,0,0,0,,0,0,25.5,17.3,224.6,1023.4,90.9,23.8,46.1,4,2,,2021-01-10T08:46:55,2021-01-10T16:49:26,0.9,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-11,7.4,4.4,5.7,3.2,0.3,1.4,3.6,86.6,1.924,100,20.83,rain,0,0,46.7,33.8,227.4,1015.5,100,18.7,20.9,1.8,0,,2021-01-11T08:46:15,2021-01-11T16:50:55,0.94,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-12,8,2,5.6,4.5,-1.2,1.9,3.2,84.6,10.547,100,70.83,rain,0,0,48.3,34.3,286.9,1008.7,67,22.9,46.4,4.1,2,,2021-01-12T08:45:31,2021-01-12T16:52:25,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-13,6.4,1.5,4.5,2.2,-2.3,0.5,1,78.2,0.589,100,50,rain,0,0,42.3,29.8,285.5,1015.3,90.7,29.5,19.8,1.6,1,,2021-01-13T08:44:45,2021-01-13T16:53:58,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-14,3.5,0.6,1.9,3.3,-4.1,-1.3,-1.3,79.3,0.035,100,4.17,rain,0,0,33,23.5,76,1019.7,99.6,42.3,23.4,2,2,,2021-01-14T08:43:55,2021-01-14T16:55:32,0.04,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-15,2.6,0.4,1.4,2.6,-4.3,-0.6,-1.9,78.6,0,0,0,,0,0,26.7,19.2,11.6,1028.1,100,38.1,33.6,2.7,0,,2021-01-15T08:43:03,2021-01-15T16:57:08,0.07,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,F5767,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-16,2.2,-0.6,1.1,1.7,-7,-3.3,-1.3,84.4,1.426,100,25,"rain,snow",0.2,0,42.8,30.8,185,1022.9,99.9,22.1,38.1,3.1,1,,2021-01-16T08:42:07,2021-01-16T16:58:46,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-17,7.5,0.1,3.8,4.5,-4.1,0.8,2.6,92.2,0.728,100,58.33,"rain,snow",0.1,0.2,31.2,23,272.4,1017.9,93.9,9.6,58.7,5.2,2,,2021-01-17T08:41:09,2021-01-17T17:00:25,0.14,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-18,6.7,2.4,5,2.7,-1.1,1.3,3.3,89,0.032,100,8.33,rain,0,0,39.1,29.6,237.6,1019.9,96.5,17.7,41.4,3.5,1,,2021-01-18T08:40:07,2021-01-18T17:02:05,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-19,9.9,5.1,7.8,5.9,-0.1,3.2,6.3,90.6,16.687,100,83.33,rain,0,0,66.1,46,222.7,1005.1,100,14.6,36.8,3.3,1,,2021-01-19T08:39:03,2021-01-19T17:03:47,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-20,10.5,7.3,8.8,10.5,2.9,5.2,4.4,74.4,0.097,100,16.67,rain,0,0,62.6,40.8,195.4,994.7,100,40.6,22.7,1.9,1,,2021-01-20T08:37:56,2021-01-20T17:05:31,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-21,10.4,3.9,7.3,10.4,0.4,3.6,3.5,76.6,5.891,100,50,rain,0,0,91.1,52.3,206.4,985.9,85.6,31.6,22,2.1,1,,2021-01-21T08:36:47,2021-01-21T17:07:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2021-01-22,7,1.9,4.6,2.8,-0.9,0.9,1.9,83.1,2.366,100,20.83,rain,0,0,45.5,30.7,235.9,990.4,73.4,28,54.7,4.7,3,,2021-01-22T08:35:35,2021-01-22T17:09:00,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-23,5.7,1.5,3.2,3.1,-2,0.5,1.3,87.4,1.268,100,50,"rain,snow",0,0,36.8,23.7,201.9,993.8,93.3,25.8,55.9,4.9,3,,2021-01-23T08:34:20,2021-01-23T17:10:47,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-24,5,-0.4,1.9,2,-3.1,-0.5,-0.3,85.9,0.63,100,25,"rain,snow",0,0,27.4,17,238.5,997.4,88.2,32.8,65,5.7,3,,2021-01-24T08:33:03,2021-01-24T17:12:34,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,F5767,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-25,5.9,-2.9,1.8,2.8,-5.7,-1.2,-0.5,85.3,1.575,100,33.33,"rain,snow",0,0,52.4,30.7,264,1003.9,69.2,18.9,62.1,5.4,3,,2021-01-25T08:31:43,2021-01-25T17:14:23,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-26,6.1,3.7,4.6,2.9,-0.5,0.7,2,83.1,2.179,100,50,rain,0,0,59.8,31.4,272.3,1014.5,85.8,31.8,45.1,3.7,1,,2021-01-26T08:30:21,2021-01-26T17:16:12,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-27,7,2,4.7,4.3,-3.7,0.8,3.6,92.4,0.993,100,45.83,rain,0,0,42.3,30.6,225,1010.6,99.6,12.9,39.1,3,1,,2021-01-27T08:28:56,2021-01-27T17:18:02,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,F5767,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-28,5.9,4,4.8,5.2,0.1,2.2,4.1,95.6,9.695,100,62.5,rain,0,0,31.1,18.1,94.6,1003.2,100,12.9,38.5,3.4,1,,2021-01-28T08:27:29,2021-01-28T17:19:52,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-29,9.4,3,7.1,5.4,-1.1,3.3,5.7,90.9,9.578,100,58.33,rain,0,0,56.8,39.6,261.9,994.6,99.6,12.4,48.3,4.2,2,,2021-01-29T08:26:00,2021-01-29T17:21:43,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-30,2.4,-1.4,0.7,-1.6,-6.6,-4.7,-2.3,80.8,0,0,0,,0,0,42.4,27.8,67.9,1002.8,97.9,39.8,59.6,5.3,2,,2021-01-30T08:24:29,2021-01-30T17:23:35,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
amsterdam,2021-01-31,1.9,-3.5,-1.1,-2.6,-8.4,-5.9,-4,81.1,0,0,0,,0,0,32.6,21.3,79.4,1002,67.1,21.1,79.3,6.7,3,,2021-01-31T08:22:56,2021-01-31T17:25:27,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06235099999,06257099999,06344099999"
